DEALERSHIP_ID,REGION,CUSTOMER_NO,FIRSTNAME,LASTNAME,ADDRESS,CITY,STATE,ZIP,COUNTRY,PHONE_NUMBER,GENDER,INCOME,EMAIL,AGE,CUST_DATE
11,Central,2,William A,Brabson,2141 Springdale Rd Sw,Dallas,Texas,30315,United States,4047668150,M,45000,bwilliama@yahoo.com,32,01/02/2003 00:00:00
11,Central,52,Daniel G,Gialloreto,8226 Brookwood Vly Cir Ne,Dallas,Texas,30309,United States,4043520264,M,10000,gdanielg@mailcity.com,16,01/02/2003 00:00:00
11,Central,61,Dat,Lu,3379 Aztec Rd,Dallas,Texas,30340,United States,7704521204,M,9000,ldat@xyz.org,16,01/02/2003 00:00:00
11,Central,95,Jennifer,Ide,2305 Shenandoah Ave Ne,Dallas,Texas,30305,United States,4042661234,F,67000,ijennifer@hotmail.com,47,01/02/2003 00:00:00
11,Central,148,Tesfalem,Andemicael,1895 Curtis Dr Ne,Dallas,Texas,30319,United States,4046335223,F,15000,atesfalem@geocities.com,32,01/02/2003 00:00:00
11,Central,164,Everett,Roach,1736 Dyson Dr Ne,Dallas,Texas,30307,United States,4043778939,F,25000,,32,01/02/2003 00:00:00
11,Central,184,Arthur,Gibert,3543 Cold Springs Ln,Dallas,Texas,30341,United States,7704586184,M,75000,garthur@xyz.org,18,01/02/2003 00:00:00
11,Central,189,Aquilno,Martinez,2800 Mrtin Lther King Jr,Dallas,Texas,30311,United States,4046995492,M,86000,maquilno@geocities.com,18,01/02/2003 00:00:00
11,Central,194,D M,Von Behren,1879 Dyer Cir,Dallas,Texas,30341,United States,7702200493,M,57000,vdm@hotmail.com,18,01/02/2003 00:00:00
11,Central,197,Rainer C,Zeck,465 Cambridge Way Ne,Dallas,Texas,30328,United States,7709130691,M,30000,zrainerc@xyz.org,18,01/02/2003 00:00:00
11,Central,237,Wurz W,Von Blankenhorn,650 Windsor Pkwy Ne,Dallas,Texas,30342,United States,4042553344,M,59000,vwurzw@yahoo.com,32,01/02/2003 00:00:00
11,Central,258,Mildred,Bradley,3030 Cntnntal Clony Pkwy,Dallas,Texas,30331,United States,4043443069,M,24000,bmildred@mailcity.com,32,01/02/2003 00:00:00
11,Central,285,J C,Anderson,4285 Huntington Cir,Dallas,Texas,30338,United States,7704576049,M,45000,ajc@compuserve.com,32,01/02/2003 00:00:00
11,Central,308,Albertina,Martinez,2540 Shallowford Rd Ne,Dallas,Texas,30345,United States,4043157654,F,16000,malbertina@compuserve.com,34,01/02/2003 00:00:00
11,Central,333,Murray F,Bradley,750 Dalrymple Rd Ne,Dallas,Texas,30328,United States,7703921174,M,2000,bmurrayf@mailcity.com,34,01/02/2003 00:00:00
11,Central,357,Howard,Roach,2866 Dresden Way,Dallas,Texas,30341,United States,7704512527,M,2000,rhoward@xyz.org,34,01/02/2003 00:00:00
